,method,error_test,subproblem,subproblem_id,dataset_id,num_boost_round
62,LASSO (Shap),0.4825496598004214,classification,1,2,64
63,Vanilla,0.4467982135039382,classification,1,3,1
64,LASSO (Saabas),0.4827301088600051,classification,1,3,1
65,LASSO (Shap),0.4880513360091533,classification,1,3,1
66,Vanilla,0.4426452355812919,classification,1,3,2
67,LASSO (Saabas),0.48373115000165545,classification,1,3,2
68,LASSO (Shap),0.48386101678702953,classification,1,3,2
69,Vanilla,0.4325969310234459,classification,1,3,4
70,LASSO (Saabas),0.46261860001398003,classification,1,3,4
71,LASSO (Shap),0.4716594252750932,classification,1,3,4
72,Vanilla,0.4315874283065445,classification,1,3,8
73,LASSO (Saabas),0.4473016772313726,classification,1,3,8
74,LASSO (Shap),0.4651465875938591,classification,1,3,8
75,Vanilla,0.42729152334107134,classification,1,3,16
76,LASSO (Saabas),0.45100030535249824,classification,1,3,16
77,LASSO (Shap),0.45423262709837875,classification,1,3,16
78,Vanilla,0.4299181066673534,classification,1,3,32
79,LASSO (Saabas),0.4621224941780683,classification,1,3,32
80,LASSO (Shap),0.46461479598406275,classification,1,3,32
81,Vanilla,0.42881331925523414,classification,1,3,64
82,LASSO (Saabas),0.4805426077103345,classification,1,3,64
83,LASSO (Shap),0.4839800306824076,classification,1,3,64
84,Vanilla,0.4749037424098329,classification,1,4,1
85,LASSO (Saabas),0.4761766165412644,classification,1,4,1
86,LASSO (Shap),0.4691074129299615,classification,1,4,1
87,Vanilla,0.4687108056028966,classification,1,4,2
88,LASSO (Saabas),0.484133190185575,classification,1,4,2
89,LASSO (Shap),0.47713090203221653,classification,1,4,2
90,Vanilla,0.46116949270976815,classification,1,4,4
91,LASSO (Saabas),0.4826161930670848,classification,1,4,4
92,LASSO (Shap),0.48447783440259895,classification,1,4,4
93,Vanilla,0.46681200546219637,classification,1,4,8
94,LASSO (Saabas),0.47544306323569996,classification,1,4,8
95,LASSO (Shap),0.474559690365003,classification,1,4,8
96,Vanilla,0.46543920227299374,classification,1,4,16
97,LASSO (Saabas),0.4774580771695117,classification,1,4,16
98,LASSO (Shap),0.4756965129348172,classification,1,4,16
99,Vanilla,0.4719459903428559,classification,1,4,32
100,LASSO (Saabas),0.48229035031722667,classification,1,4,32
101,LASSO (Shap),0.4789946159704104,classification,1,4,32
102,Vanilla,0.46932844120144623,classification,1,4,64
103,LASSO (Saabas),0.48123554359630905,classification,1,4,64
104,LASSO (Shap),0.4774856131765418,classification,1,4,64
105,Vanilla,0.4780141201865775,classification,1,5,1
106,LASSO (Saabas),0.48540300546854953,classification,1,5,1
107,LASSO (Shap),0.4766904643769957,classification,1,5,1
108,Vanilla,0.4690539427342032,classification,1,5,2
109,LASSO (Saabas),0.47489521244310917,classification,1,5,2
110,LASSO (Shap),0.465984770736083,classification,1,5,2
111,Vanilla,0.47464474680336155,classification,1,5,4
112,LASSO (Saabas),0.480260418745194,classification,1,5,4
113,LASSO (Shap),0.4722817032616523,classification,1,5,4
114,Vanilla,0.4734110322817747,classification,1,5,8
115,LASSO (Saabas),0.4799244790999676,classification,1,5,8
116,LASSO (Shap),0.47361474036451834,classification,1,5,8
117,Vanilla,0.47778956478542456,classification,1,5,16
118,LASSO (Saabas),0.4748451788789265,classification,1,5,16
119,LASSO (Shap),0.47615647520687987,classification,1,5,16
120,Vanilla,0.4857630684393638,classification,1,5,32
121,LASSO (Saabas),0.48925082480926196,classification,1,5,32
122,LASSO (Shap),0.48498025163308955,classification,1,5,32
123,Vanilla,0.48745840215430225,classification,1,5,64
124,LASSO (Saabas),0.49279546457653445,classification,1,5,64
125,LASSO (Shap),0.4892100236289463,classification,1,5,64
126,Vanilla,0.4676364459605107,classification,1,6,1
127,LASSO (Saabas),0.4969334381493128,classification,1,6,1
128,LASSO (Shap),0.49997444416049075,classification,1,6,1
129,Vanilla,0.4706314792386582,classification,1,6,2
130,LASSO (Saabas),0.4864369326325848,classification,1,6,2
131,LASSO (Shap),0.5007000077778643,classification,1,6,2
132,Vanilla,0.4723403871154124,classification,1,6,4
133,LASSO (Saabas),0.4816204902276693,classification,1,6,4
134,LASSO (Shap),0.492952005022278,classification,1,6,4
135,Vanilla,0.4787083745374948,classification,1,6,8
136,LASSO (Saabas),0.48620193002144463,classification,1,6,8
137,LASSO (Shap),0.4912765697396638,classification,1,6,8
138,Vanilla,0.4777012800142224,classification,1,6,16
139,LASSO (Saabas),0.48757597306636735,classification,1,6,16
140,LASSO (Shap),0.48807445082723144,classification,1,6,16
141,Vanilla,0.47932365915176844,classification,1,6,32
142,LASSO (Saabas),0.49621356903965597,classification,1,6,32
143,LASSO (Shap),0.4895818286869854,classification,1,6,32
144,Vanilla,0.48596803853376147,classification,1,6,64
145,LASSO (Saabas),0.49058795097723307,classification,1,6,64
146,LASSO (Shap),0.48719388548761655,classification,1,6,64
147,Vanilla,0.47453925037051203,classification,1,7,1
148,LASSO (Saabas),0.4801599503666004,classification,1,7,1
149,LASSO (Shap),0.49662518960219393,classification,1,7,1
150,Vanilla,0.47962795051437057,classification,1,7,2
151,LASSO (Saabas),0.4754299460638802,classification,1,7,2
152,LASSO (Shap),0.49322959902123986,classification,1,7,2
153,Vanilla,0.4835100418537337,classification,1,7,4
154,LASSO (Saabas),0.4812067011608653,classification,1,7,4
155,LASSO (Shap),0.5020577814044254,classification,1,7,4
156,Vanilla,0.47866486372546035,classification,1,7,8
157,LASSO (Saabas),0.47575835444853465,classification,1,7,8
158,LASSO (Shap),0.4919723300316837,classification,1,7,8
159,Vanilla,0.48300384745770075,classification,1,7,16
160,LASSO (Saabas),0.4841875029880002,classification,1,7,16
161,LASSO (Shap),0.4908635103243556,classification,1,7,16
162,Vanilla,0.48385447678486826,classification,1,7,32
163,LASSO (Saabas),0.48103176733148767,classification,1,7,32
164,LASSO (Shap),0.47919591285035656,classification,1,7,32
165,Vanilla,0.48406716807120787,classification,1,7,64
166,LASSO (Saabas),0.48520274396206653,classification,1,7,64
167,LASSO (Shap),0.48503962631526343,classification,1,7,64
168,Vanilla,0.4558578477944183,classification,1,8,1
169,LASSO (Saabas),0.4558202771875881,classification,1,8,1
170,LASSO (Shap),0.46187231175830434,classification,1,8,1
171,Vanilla,0.4570221047600952,classification,1,8,2
172,LASSO (Saabas),0.45254270957489073,classification,1,8,2
173,LASSO (Shap),0.45376281863041457,classification,1,8,2
174,Vanilla,0.4506969995336063,classification,1,8,4
175,LASSO (Saabas),0.4487110834729636,classification,1,8,4
176,LASSO (Shap),0.4499107518151929,classification,1,8,4
177,Vanilla,0.4557005118815245,classification,1,8,8
178,LASSO (Saabas),0.4416659469232408,classification,1,8,8
179,LASSO (Shap),0.44215969091338314,classification,1,8,8
180,Vanilla,0.45180943497262094,classification,1,8,16
181,LASSO (Saabas),0.43380649266149596,classification,1,8,16
182,LASSO (Shap),0.4373977244591848,classification,1,8,16
183,Vanilla,0.4471564376730983,classification,1,8,32
184,LASSO (Saabas),0.4376005481565931,classification,1,8,32
185,LASSO (Shap),0.44358679817818547,classification,1,8,32
186,Vanilla,0.44862586585134134,classification,1,8,64
187,LASSO (Saabas),0.4475610774271188,classification,1,8,64
188,LASSO (Shap),0.4515573808248836,classification,1,8,64
189,Vanilla,0.487543902485835,classification,1,9,1
190,LASSO (Saabas),0.5068020864209904,classification,1,9,1
191,LASSO (Shap),0.5006983880563913,classification,1,9,1
192,Vanilla,0.4857548828520676,classification,1,9,2
193,LASSO (Saabas),0.5022890868069698,classification,1,9,2
194,LASSO (Shap),0.4910670303260354,classification,1,9,2
195,Vanilla,0.480193768032806,classification,1,9,4
196,LASSO (Saabas),0.48558988200973674,classification,1,9,4
197,LASSO (Shap),0.4823962227335441,classification,1,9,4
198,Vanilla,0.4793636991749425,classification,1,9,8
199,LASSO (Saabas),0.46903022154361884,classification,1,9,8
200,LASSO (Shap),0.467455383132489,classification,1,9,8
201,Vanilla,0.4880475682234501,classification,1,9,16
202,LASSO (Saabas),0.4685280218878016,classification,1,9,16
203,LASSO (Shap),0.4685578766444106,classification,1,9,16
204,Vanilla,0.48399931653932193,classification,1,9,32
205,LASSO (Saabas),0.4648422922482125,classification,1,9,32
206,LASSO (Shap),0.46505154210480293,classification,1,9,32
207,Vanilla,0.48273875275356826,classification,1,9,64
208,LASSO (Saabas),0.4710544806658463,classification,1,9,64
209,LASSO (Shap),0.47140700669812796,classification,1,9,64
210,Vanilla,0.4869615822914266,classification,1,10,1
211,LASSO (Saabas),0.502508692927804,classification,1,10,1
212,LASSO (Shap),0.48645818791009354,classification,1,10,1
213,Vanilla,0.4730387748409949,classification,1,10,2
214,LASSO (Saabas),0.4988349366414617,classification,1,10,2
215,LASSO (Shap),0.48651062144288004,classification,1,10,2
216,Vanilla,0.4800859715138195,classification,1,10,4
217,LASSO (Saabas),0.4928347872951764,classification,1,10,4
218,LASSO (Shap),0.4904906999470795,classification,1,10,4
219,Vanilla,0.48469979773318306,classification,1,10,8
220,LASSO (Saabas),0.4979774941641316,classification,1,10,8
221,LASSO (Shap),0.4896548477479554,classification,1,10,8
222,Vanilla,0.4747367771720956,classification,1,10,16
223,LASSO (Saabas),0.4904958946004824,classification,1,10,16
224,LASSO (Shap),0.47757500592515156,classification,1,10,16
225,Vanilla,0.47405530357879155,classification,1,10,32
226,LASSO (Saabas),0.49786564678304857,classification,1,10,32
227,LASSO (Shap),0.4868255473054358,classification,1,10,32
228,Vanilla,0.4777957786947784,classification,1,10,64
229,LASSO (Saabas),0.5007249788155541,classification,1,10,64
230,LASSO (Shap),0.4941022827255047,classification,1,10,64
231,Vanilla,0.4704143372672016,classification,1,11,1
232,LASSO (Saabas),0.5127229200559364,classification,1,11,1
233,LASSO (Shap),0.5093715174770559,classification,1,11,1
234,Vanilla,0.4757693578111929,classification,1,11,2
235,LASSO (Saabas),0.5074226937787669,classification,1,11,2
236,LASSO (Shap),0.509049234578115,classification,1,11,2
237,Vanilla,0.4691702758852747,classification,1,11,4
238,LASSO (Saabas),0.5015123217642828,classification,1,11,4
239,LASSO (Shap),0.501138022899373,classification,1,11,4
240,Vanilla,0.46337165330509755,classification,1,11,8
241,LASSO (Saabas),0.49248809189384424,classification,1,11,8
242,LASSO (Shap),0.491545784854556,classification,1,11,8
243,Vanilla,0.46379086803379643,classification,1,11,16
244,LASSO (Saabas),0.4936762785586175,classification,1,11,16
245,LASSO (Shap),0.48778118719882446,classification,1,11,16
246,Vanilla,0.4617273622503002,classification,1,11,32
247,LASSO (Saabas),0.4977670178644745,classification,1,11,32
248,LASSO (Shap),0.4957260471878965,classification,1,11,32
249,Vanilla,0.4605902654512115,classification,1,11,64
250,LASSO (Saabas),0.5047336072532175,classification,1,11,64
251,LASSO (Shap),0.5035651773945095,classification,1,11,64
252,Vanilla,0.47825371897221136,classification,1,12,1
253,LASSO (Saabas),0.4972731899547761,classification,1,12,1
254,LASSO (Shap),0.49112376216027576,classification,1,12,1
255,Vanilla,0.47188500632552466,classification,1,12,2
256,LASSO (Saabas),0.4987565618229144,classification,1,12,2
257,LASSO (Shap),0.4952970088266515,classification,1,12,2
258,Vanilla,0.471623987552531,classification,1,12,4
259,LASSO (Saabas),0.48842588957233635,classification,1,12,4
260,LASSO (Shap),0.48738603149674997,classification,1,12,4
261,Vanilla,0.46567450450057435,classification,1,12,8
262,LASSO (Saabas),0.4853329261731303,classification,1,12,8
263,LASSO (Shap),0.48600895752446593,classification,1,12,8
264,Vanilla,0.46756111038403936,classification,1,12,16
265,LASSO (Saabas),0.4800897206590178,classification,1,12,16
266,LASSO (Shap),0.4799085343686835,classification,1,12,16
267,Vanilla,0.4723773793424363,classification,1,12,32
268,LASSO (Saabas),0.4825601651907109,classification,1,12,32
269,LASSO (Shap),0.4789338219255769,classification,1,12,32
270,Vanilla,0.48857203100234115,classification,1,12,64
271,LASSO (Saabas),0.4835052131047419,classification,1,12,64
272,LASSO (Shap),0.48110253166397654,classification,1,12,64
273,Vanilla,0.48365111171796915,classification,1,13,1
274,LASSO (Saabas),0.48678677691149574,classification,1,13,1
275,LASSO (Shap),0.47555879001391166,classification,1,13,1
276,Vanilla,0.4735955365427865,classification,1,13,2
277,LASSO (Saabas),0.4811776089377807,classification,1,13,2
278,LASSO (Shap),0.48738942513221806,classification,1,13,2
279,Vanilla,0.46095136207076504,classification,1,13,4
280,LASSO (Saabas),0.4672757726836647,classification,1,13,4
281,LASSO (Shap),0.4795006669878884,classification,1,13,4
282,Vanilla,0.4588949948027846,classification,1,13,8
283,LASSO (Saabas),0.4690115139409762,classification,1,13,8
284,LASSO (Shap),0.4810482147171986,classification,1,13,8
285,Vanilla,0.4622435170635948,classification,1,13,16
286,LASSO (Saabas),0.4694281132892869,classification,1,13,16
287,LASSO (Shap),0.488573453739064,classification,1,13,16
288,Vanilla,0.4597617931036455,classification,1,13,32
289,LASSO (Saabas),0.4624771058015793,classification,1,13,32
290,LASSO (Shap),0.4805247400319983,classification,1,13,32
291,Vanilla,0.4646419568981418,classification,1,13,64
292,LASSO (Saabas),0.4721673746413063,classification,1,13,64
293,LASSO (Shap),0.4853525384858446,classification,1,13,64
294,Vanilla,0.4703487628715771,classification,1,14,1
295,LASSO (Saabas),0.46200301513813435,classification,1,14,1
296,LASSO (Shap),0.4753438119790784,classification,1,14,1
297,Vanilla,0.46867542067718704,classification,1,14,2
298,LASSO (Saabas),0.4626945046580019,classification,1,14,2
299,LASSO (Shap),0.4722396172499205,classification,1,14,2
300,Vanilla,0.46041620205588407,classification,1,14,4
301,LASSO (Saabas),0.46093567407962466,classification,1,14,4
302,LASSO (Shap),0.46767899780852384,classification,1,14,4
303,Vanilla,0.4618888323922177,classification,1,14,8
304,LASSO (Saabas),0.46561567990770225,classification,1,14,8
305,LASSO (Shap),0.46793546296048505,classification,1,14,8
306,Vanilla,0.4602047855653979,classification,1,14,16
307,LASSO (Saabas),0.46133471898853107,classification,1,14,16
308,LASSO (Shap),0.45935540271719255,classification,1,14,16
309,Vanilla,0.46428220979295454,classification,1,14,32
310,LASSO (Saabas),0.4635159365215298,classification,1,14,32
311,LASSO (Shap),0.4650936804013047,classification,1,14,32
312,Vanilla,0.47233863509989504,classification,1,14,64
313,LASSO (Saabas),0.46843367439481653,classification,1,14,64
314,LASSO (Shap),0.46794631626836514,classification,1,14,64
315,Vanilla,0.4761992325534333,classification,1,15,1
316,LASSO (Saabas),0.4849575413689503,classification,1,15,1
317,LASSO (Shap),0.4819283262504086,classification,1,15,1
318,Vanilla,0.4833763692357187,classification,1,15,2
319,LASSO (Saabas),0.4850927785301763,classification,1,15,2
320,LASSO (Shap),0.47904051017813676,classification,1,15,2
321,Vanilla,0.4757954669281901,classification,1,15,4
322,LASSO (Saabas),0.4827765583731586,classification,1,15,4
323,LASSO (Shap),0.4769994668347889,classification,1,15,4
324,Vanilla,0.4669369464032753,classification,1,15,8
325,LASSO (Saabas),0.48338609852789327,classification,1,15,8
326,LASSO (Shap),0.47918417939258084,classification,1,15,8
327,Vanilla,0.4690603644203677,classification,1,15,16
328,LASSO (Saabas),0.4806244389441512,classification,1,15,16
329,LASSO (Shap),0.47770662422100796,classification,1,15,16
330,Vanilla,0.4602738406575444,classification,1,15,32
331,LASSO (Saabas),0.4736148082421374,classification,1,15,32
332,LASSO (Shap),0.4700371853546911,classification,1,15,32
333,Vanilla,0.45840938396716424,classification,1,15,64
334,LASSO (Saabas),0.4751238214584079,classification,1,15,64
335,LASSO (Shap),0.47052089333063507,classification,1,15,64
336,Vanilla,0.4779659867877053,classification,1,16,1
337,LASSO (Saabas),0.4889035284651154,classification,1,16,1
338,LASSO (Shap),0.49372213170506174,classification,1,16,1
339,Vanilla,0.4725990477545323,classification,1,16,2
340,LASSO (Saabas),0.4814193769949586,classification,1,16,2
341,LASSO (Shap),0.47916935254421134,classification,1,16,2
342,Vanilla,0.47404831023108174,classification,1,16,4
343,LASSO (Saabas),0.4788210683198336,classification,1,16,4
344,LASSO (Shap),0.4732472704074828,classification,1,16,4
345,Vanilla,0.47034082674645017,classification,1,16,8
346,LASSO (Saabas),0.4711235285095714,classification,1,16,8
347,LASSO (Shap),0.4739891283086307,classification,1,16,8
348,Vanilla,0.46435525602155225,classification,1,16,16
349,LASSO (Saabas),0.4768130506975131,classification,1,16,16
350,LASSO (Shap),0.48096967773915056,classification,1,16,16
351,Vanilla,0.4630292197544257,classification,1,16,32
352,LASSO (Saabas),0.4761002280587885,classification,1,16,32
353,LASSO (Shap),0.47890511776369027,classification,1,16,32
354,Vanilla,0.46674670581749966,classification,1,16,64
355,LASSO (Saabas),0.4711214446390626,classification,1,16,64
356,LASSO (Shap),0.474547049906198,classification,1,16,64
357,Vanilla,0.4772881936794694,classification,1,17,1
358,LASSO (Saabas),0.4797882004792483,classification,1,17,1
359,LASSO (Shap),0.47692467748647516,classification,1,17,1
360,Vanilla,0.46690275499851774,classification,1,17,2
361,LASSO (Saabas),0.48503817396010984,classification,1,17,2
362,LASSO (Shap),0.47434606523980105,classification,1,17,2
363,Vanilla,0.4655531348341806,classification,1,17,4
364,LASSO (Saabas),0.48165310790705507,classification,1,17,4
365,LASSO (Shap),0.48439559483107986,classification,1,17,4
366,Vanilla,0.47081357997492246,classification,1,17,8
367,LASSO (Saabas),0.4765667371123785,classification,1,17,8
368,LASSO (Shap),0.4805193127327224,classification,1,17,8
369,Vanilla,0.46818451336700584,classification,1,17,16
370,LASSO (Saabas),0.4779198931618701,classification,1,17,16
371,LASSO (Shap),0.48209291762203565,classification,1,17,16
372,Vanilla,0.47513579158948915,classification,1,17,32
373,LASSO (Saabas),0.48033327077536514,classification,1,17,32
374,LASSO (Shap),0.47987863754185267,classification,1,17,32
375,Vanilla,0.47436184072741316,classification,1,17,64
376,LASSO (Saabas),0.4875414446538777,classification,1,17,64
377,LASSO (Shap),0.4827544001370836,classification,1,17,64
378,Vanilla,0.4739144705269963,classification,1,18,1
379,LASSO (Saabas),0.4864219054204487,classification,1,18,1
380,LASSO (Shap),0.48267380836785434,classification,1,18,1
381,Vanilla,0.47773139945537,classification,1,18,2
382,LASSO (Saabas),0.4879777159867198,classification,1,18,2
383,LASSO (Shap),0.4959082690026769,classification,1,18,2
384,Vanilla,0.46503550884095524,classification,1,18,4
385,LASSO (Saabas),0.47918685209588674,classification,1,18,4
386,LASSO (Shap),0.48385691096553085,classification,1,18,4
387,Vanilla,0.4672729826655766,classification,1,18,8
388,LASSO (Saabas),0.49350020421874596,classification,1,18,8
389,LASSO (Shap),0.496328090901512,classification,1,18,8
390,Vanilla,0.4626381278850714,classification,1,18,16
391,LASSO (Saabas),0.4877020381941599,classification,1,18,16
392,LASSO (Shap),0.49405418697469716,classification,1,18,16
393,Vanilla,0.457330016792876,classification,1,18,32
394,LASSO (Saabas),0.48978030546640694,classification,1,18,32
395,LASSO (Shap),0.4963900921331297,classification,1,18,32
396,Vanilla,0.4546599355047076,classification,1,18,64
397,LASSO (Saabas),0.5014677127710627,classification,1,18,64
398,LASSO (Shap),0.503751249657592,classification,1,18,64
399,Vanilla,0.48031934596253567,classification,1,19,1
400,LASSO (Saabas),0.4931528615608941,classification,1,19,1
401,LASSO (Shap),0.49086470055620235,classification,1,19,1
402,Vanilla,0.47950268105972416,classification,1,19,2
403,LASSO (Saabas),0.48934587434296395,classification,1,19,2
404,LASSO (Shap),0.4805280688138662,classification,1,19,2
405,Vanilla,0.4795730882750673,classification,1,19,4
406,LASSO (Saabas),0.47975447137263205,classification,1,19,4
407,LASSO (Shap),0.47504115661857216,classification,1,19,4
408,Vanilla,0.477398401947296,classification,1,19,8
409,LASSO (Saabas),0.4832554297338931,classification,1,19,8
410,LASSO (Shap),0.47731535377053436,classification,1,19,8
411,Vanilla,0.4809530109006245,classification,1,19,16
412,LASSO (Saabas),0.4827716924777461,classification,1,19,16
413,LASSO (Shap),0.4827971213885067,classification,1,19,16
414,Vanilla,0.48048632424360016,classification,1,19,32
415,LASSO (Saabas),0.48962926705941845,classification,1,19,32
416,LASSO (Shap),0.49387530720476003,classification,1,19,32
417,Vanilla,0.4741230700485648,classification,1,19,64
418,LASSO (Saabas),0.48926885267106446,classification,1,19,64
419,LASSO (Shap),0.4964631765854117,classification,1,19,64
420,Vanilla,0.4908205437315184,classification,1,20,1
421,LASSO (Saabas),0.5010720019893935,classification,1,20,1
422,LASSO (Shap),0.5006403360345116,classification,1,20,1
423,Vanilla,0.49526748693109013,classification,1,20,2
424,LASSO (Saabas),0.5021810348089804,classification,1,20,2
425,LASSO (Shap),0.4994254815359416,classification,1,20,2
426,Vanilla,0.4964530140933393,classification,1,20,4
427,LASSO (Saabas),0.49745717127705014,classification,1,20,4
428,LASSO (Shap),0.4939334310010217,classification,1,20,4
429,Vanilla,0.4889853552527016,classification,1,20,8
430,LASSO (Saabas),0.49869743379049736,classification,1,20,8
431,LASSO (Shap),0.5047990063844395,classification,1,20,8
432,Vanilla,0.47695925527486605,classification,1,20,16
433,LASSO (Saabas),0.49185781242397864,classification,1,20,16
434,LASSO (Shap),0.49681494315632413,classification,1,20,16
435,Vanilla,0.47542612484525437,classification,1,20,32
436,LASSO (Saabas),0.48901549348311457,classification,1,20,32
437,LASSO (Shap),0.4977094944886232,classification,1,20,32
438,Vanilla,0.46979027575805077,classification,1,20,64
439,LASSO (Saabas),0.4922306885572032,classification,1,20,64
440,LASSO (Shap),0.49751839378098295,classification,1,20,64
441,Vanilla,0.47328701546716356,classification,1,21,1
442,LASSO (Saabas),0.4875028479343836,classification,1,21,1
443,LASSO (Shap),0.4839675693872013,classification,1,21,1
444,Vanilla,0.4771488464905769,classification,1,21,2
445,LASSO (Saabas),0.5002500742382895,classification,1,21,2
446,LASSO (Shap),0.4905827769728185,classification,1,21,2
447,Vanilla,0.48266119948596375,classification,1,21,4
448,LASSO (Saabas),0.5034472805746556,classification,1,21,4
449,LASSO (Shap),0.49199266448901013,classification,1,21,4
450,Vanilla,0.4777182733709816,classification,1,21,8
451,LASSO (Saabas),0.5006524649672072,classification,1,21,8
452,LASSO (Shap),0.49435772999790084,classification,1,21,8
453,Vanilla,0.4799358222786547,classification,1,21,16
454,LASSO (Saabas),0.508633401086439,classification,1,21,16
455,LASSO (Shap),0.5052853182262681,classification,1,21,16
456,Vanilla,0.4849616264841259,classification,1,21,32
457,LASSO (Saabas),0.505389955815418,classification,1,21,32
458,LASSO (Shap),0.5066064077883645,classification,1,21,32
459,Vanilla,0.489550160764296,classification,1,21,64
460,LASSO (Saabas),0.49970880670909346,classification,1,21,64
461,LASSO (Shap),0.49860115222945267,classification,1,21,64
462,Vanilla,0.4990358735387459,classification,1,22,1
463,LASSO (Saabas),0.49070298656025557,classification,1,22,1
464,LASSO (Shap),0.48381336006998843,classification,1,22,1
465,Vanilla,0.48969743279011946,classification,1,22,2
466,LASSO (Saabas),0.49210258796538064,classification,1,22,2
467,LASSO (Shap),0.47675342130987286,classification,1,22,2
468,Vanilla,0.4891445107281386,classification,1,22,4
469,LASSO (Saabas),0.486346842262662,classification,1,22,4
470,LASSO (Shap),0.48209740466976436,classification,1,22,4
471,Vanilla,0.4960883972290291,classification,1,22,8
472,LASSO (Saabas),0.47907125831893826,classification,1,22,8
473,LASSO (Shap),0.472667879635953,classification,1,22,8
474,Vanilla,0.49737348071970255,classification,1,22,16
475,LASSO (Saabas),0.48418257921682584,classification,1,22,16
476,LASSO (Shap),0.47347996647875124,classification,1,22,16
477,Vanilla,0.48737317943018343,classification,1,22,32
478,LASSO (Saabas),0.4875238241897544,classification,1,22,32
479,LASSO (Shap),0.4765308018318404,classification,1,22,32
480,Vanilla,0.4853248291576837,classification,1,22,64
481,LASSO (Saabas),0.4890562161607235,classification,1,22,64
482,LASSO (Shap),0.4766373690506479,classification,1,22,64
483,Vanilla,0.4711638876556359,classification,1,23,1
484,LASSO (Saabas),0.4705594418212,classification,1,23,1
485,LASSO (Shap),0.4746363756651364,classification,1,23,1
486,Vanilla,0.47139776527271426,classification,1,23,2
487,LASSO (Saabas),0.4529320953903556,classification,1,23,2
488,LASSO (Shap),0.4587987192637517,classification,1,23,2
489,Vanilla,0.4719262111333947,classification,1,23,4
490,LASSO (Saabas),0.45723101476914596,classification,1,23,4
491,LASSO (Shap),0.46424037206087876,classification,1,23,4
492,Vanilla,0.46121281195528796,classification,1,23,8
