,method,error_test,subproblem,subproblem_id,dataset_id,num_boost_round
0,Vanilla,0.4663069070513203,classification,1,0,1
1,LASSO (Saabas),0.486611681018167,classification,1,0,1
2,LASSO (Shap),0.4737637751786101,classification,1,0,1
3,Vanilla,0.47135691312204053,classification,1,0,2
4,LASSO (Saabas),0.4835328735457054,classification,1,0,2
5,LASSO (Shap),0.46926831750581477,classification,1,0,2
6,Vanilla,0.458251001668853,classification,1,0,4
7,LASSO (Saabas),0.47494012603291524,classification,1,0,4
8,LASSO (Shap),0.4500610345459696,classification,1,0,4
9,Vanilla,0.4536912657808969,classification,1,0,8
10,LASSO (Saabas),0.46366138236253396,classification,1,0,8
11,LASSO (Shap),0.44770818404519463,classification,1,0,8
12,Vanilla,0.4507395268171095,classification,1,0,16
13,LASSO (Saabas),0.45654182607267246,classification,1,0,16
14,LASSO (Shap),0.43678460727200874,classification,1,0,16
15,Vanilla,0.4451006013584129,classification,1,0,32
16,LASSO (Saabas),0.4597021716514026,classification,1,0,32
17,LASSO (Shap),0.43885400869898517,classification,1,0,32
18,Vanilla,0.45077136834036036,classification,1,0,64
19,LASSO (Saabas),0.462363765893979,classification,1,0,64
20,LASSO (Shap),0.443121963151918,classification,1,0,64
21,Vanilla,0.4736642625029721,classification,1,1,1
22,LASSO (Saabas),0.4773676785289689,classification,1,1,1
23,LASSO (Shap),0.47929206625980814,classification,1,1,1
24,Vanilla,0.46947214076246313,classification,1,1,2
25,LASSO (Saabas),0.49326828881667595,classification,1,1,2
26,LASSO (Shap),0.49121280811603385,classification,1,1,2
27,Vanilla,0.47118253150511213,classification,1,1,4
28,LASSO (Saabas),0.49900023777443125,classification,1,1,4
29,LASSO (Shap),0.49714353649837517,classification,1,1,4
30,Vanilla,0.47061345803281285,classification,1,1,8
31,LASSO (Saabas),0.4894355235000396,classification,1,1,8
32,LASSO (Shap),0.47919473725925343,classification,1,1,8
33,Vanilla,0.475218039153523,classification,1,1,16
34,LASSO (Saabas),0.4855550447808512,classification,1,1,16
35,LASSO (Shap),0.4769571213442181,classification,1,1,16
36,Vanilla,0.46858127922644055,classification,1,1,32
37,LASSO (Saabas),0.48539399223270197,classification,1,1,32
38,LASSO (Shap),0.48071649361971946,classification,1,1,32
39,Vanilla,0.4711215027344059,classification,1,1,64
40,LASSO (Saabas),0.4965971308551954,classification,1,1,64
41,LASSO (Shap),0.49757153047475633,classification,1,1,64
42,Vanilla,0.48688504361369156,classification,1,2,1
43,LASSO (Saabas),0.4799520980317282,classification,1,2,1
44,LASSO (Shap),0.46908591616544126,classification,1,2,1
45,Vanilla,0.47691945543610637,classification,1,2,2
46,LASSO (Saabas),0.4776439879917136,classification,1,2,2
47,LASSO (Shap),0.4709393521506138,classification,1,2,2
48,Vanilla,0.4755972599496079,classification,1,2,4
49,LASSO (Saabas),0.4798456553893049,classification,1,2,4
50,LASSO (Shap),0.4751895540581327,classification,1,2,4
51,Vanilla,0.4665465782442356,classification,1,2,8
52,LASSO (Saabas),0.4829133156688572,classification,1,2,8
53,LASSO (Shap),0.4809922066198986,classification,1,2,8
54,Vanilla,0.4722907290403876,classification,1,2,16
55,LASSO (Saabas),0.47288519591282485,classification,1,2,16
56,LASSO (Shap),0.47389737372928886,classification,1,2,16
57,Vanilla,0.477338417011702,classification,1,2,32
58,LASSO (Saabas),0.47154910452000487,classification,1,2,32
59,LASSO (Shap),0.47375202254916515,classification,1,2,32
60,Vanilla,0.4767211608528974,classification,1,2,64
61,LASSO (Saabas),0.481967282366484,classification,1,2,64
