,method,auc_noisy,elapsed,subproblem,subproblem_id,dataset_id,num_boost_round
0,TotalGain-oob (Saabas),0.5893333333333334,0.05062580108642578,classification,1,0,1
1,TotalGain-oob (Shap),0.5946666666666667,0.15780425071716309,classification,1,0,1
2,TotalGain,0.6413333333333333,0.3650989532470703,classification,1,0,1
3,TotalGain (Shap),0.652,0.045146942138671875,classification,1,0,1
4,Permutation (perm_round = 5),0.24266666666666667,5.071281671524048,classification,1,0,1
5,TotalGain-oob (Saabas),0.584,0.08511066436767578,classification,1,0,2
6,TotalGain-oob (Shap),0.5973333333333334,0.32628774642944336,classification,1,0,2
7,TotalGain,0.6226666666666667,0.4027106761932373,classification,1,0,2
8,TotalGain (Shap),0.6333333333333333,0.0772085189819336,classification,1,0,2
9,Permutation (perm_round = 5),0.25066666666666665,5.39637017250061,classification,1,0,2
10,TotalGain-oob (Saabas),0.6906666666666665,0.10261344909667969,classification,1,0,4
11,TotalGain-oob (Shap),0.856,0.26652073860168457,classification,1,0,4
12,TotalGain,0.788,0.6458969116210938,classification,1,0,4
13,TotalGain (Shap),0.8493333333333333,0.12251830101013184,classification,1,0,4
14,Permutation (perm_round = 5),0.32,6.0671303272247314,classification,1,0,4
15,TotalGain-oob (Saabas),0.7866666666666666,0.2266981601715088,classification,1,0,8
16,TotalGain-oob (Shap),0.9253333333333333,2.4737253189086914,classification,1,0,8
17,TotalGain,0.864,0.5597450733184814,classification,1,0,8
18,TotalGain (Shap),0.9146666666666667,0.22864103317260742,classification,1,0,8
19,Permutation (perm_round = 5),0.168,17.568502187728882,classification,1,0,8
20,TotalGain-oob (Saabas),0.8026666666666666,0.34496259689331055,classification,1,0,16
21,TotalGain-oob (Shap),0.976,0.845536470413208,classification,1,0,16
22,TotalGain,0.8533333333333333,0.8317430019378662,classification,1,0,16
23,TotalGain (Shap),0.9333333333333333,1.0475904941558838,classification,1,0,16
24,Permutation (perm_round = 5),0.029333333333333326,4.989012956619263,classification,1,0,16
25,TotalGain-oob (Saabas),0.8026666666666668,1.3066058158874512,classification,1,0,32
26,TotalGain-oob (Shap),0.9706666666666667,1.0195631980895996,classification,1,0,32
27,TotalGain,0.8533333333333334,5.9610981941223145,classification,1,0,32
28,TotalGain (Shap),0.9279999999999999,1.5769233703613281,classification,1,0,32
29,Permutation (perm_round = 5),0.06666666666666668,9.081131219863892,classification,1,0,32
30,TotalGain-oob (Saabas),0.7600000000000001,3.777724266052246,classification,1,0,64
31,TotalGain-oob (Shap),0.8719999999999999,4.0815043449401855,classification,1,0,64
32,TotalGain,0.8373333333333333,4.943393707275391,classification,1,0,64
33,TotalGain (Shap),0.896,8.050594329833984,classification,1,0,64
34,Permutation (perm_round = 5),0.11199999999999999,11.511398553848267,classification,1,0,64
35,TotalGain-oob (Saabas),0.508,0.036327362060546875,classification,1,1,1
36,TotalGain-oob (Shap),0.6813333333333333,0.25576233863830566,classification,1,1,1
37,TotalGain,0.776,0.18564081192016602,classification,1,1,1
38,TotalGain (Shap),0.7813333333333333,0.1570906639099121,classification,1,1,1
39,Permutation (perm_round = 5),0.30266666666666664,4.708738565444946,classification,1,1,1
40,TotalGain-oob (Saabas),0.4946666666666667,0.07784581184387207,classification,1,1,2
41,TotalGain-oob (Shap),0.6866666666666665,0.24393630027770996,classification,1,1,2
42,TotalGain,0.856,4.639080762863159,classification,1,1,2
43,TotalGain (Shap),0.8693333333333333,0.0685427188873291,classification,1,1,2
44,Permutation (perm_round = 5),0.30799999999999994,8.429876565933228,classification,1,1,2
45,TotalGain-oob (Saabas),0.5186666666666666,0.12306880950927734,classification,1,1,4
46,TotalGain-oob (Shap),0.5373333333333333,0.22540616989135742,classification,1,1,4
47,TotalGain,0.8346666666666666,2.0160210132598877,classification,1,1,4
48,TotalGain (Shap),0.856,0.11678338050842285,classification,1,1,4
49,Permutation (perm_round = 5),0.27066666666666667,12.6541428565979,classification,1,1,4
50,TotalGain-oob (Saabas),0.6706666666666666,0.17891430854797363,classification,1,1,8
51,TotalGain-oob (Shap),0.8039999999999999,0.48815441131591797,classification,1,1,8
52,TotalGain,0.8586666666666666,1.0564963817596436,classification,1,1,8
53,TotalGain (Shap),0.968,0.22445058822631836,classification,1,1,8
54,Permutation (perm_round = 5),0.12133333333333332,4.933307647705078,classification,1,1,8
55,TotalGain-oob (Saabas),0.8666666666666667,0.3401827812194824,classification,1,1,16
56,TotalGain-oob (Shap),0.864,0.4754931926727295,classification,1,1,16
57,TotalGain,0.752,6.248147964477539,classification,1,1,16
58,TotalGain (Shap),0.9119999999999999,1.0887560844421387,classification,1,1,16
59,Permutation (perm_round = 5),0.09733333333333333,4.566630125045776,classification,1,1,16
60,TotalGain-oob (Saabas),0.8026666666666669,1.2424404621124268,classification,1,1,32
61,TotalGain-oob (Shap),0.8053333333333335,1.1681301593780518,classification,1,1,32
62,TotalGain,0.6853333333333333,5.651264429092407,classification,1,1,32
63,TotalGain (Shap),0.8640000000000001,1.1396563053131104,classification,1,1,32
64,Permutation (perm_round = 5),0.17333333333333334,8.435529470443726,classification,1,1,32
65,TotalGain-oob (Saabas),0.7946666666666667,9.413696527481079,classification,1,1,64
66,TotalGain-oob (Shap),0.8186666666666667,2.06127667427063,classification,1,1,64
67,TotalGain,0.6026666666666667,3.9695870876312256,classification,1,1,64
68,TotalGain (Shap),0.8266666666666667,2.4941577911376953,classification,1,1,64
69,Permutation (perm_round = 5),0.29333333333333333,7.920557498931885,classification,1,1,64
70,TotalGain-oob (Saabas),0.5346666666666666,0.036844491958618164,classification,1,2,1
71,TotalGain-oob (Shap),0.7133333333333334,0.35086846351623535,classification,1,2,1
72,TotalGain,0.7706666666666666,0.4886753559112549,classification,1,2,1
73,TotalGain (Shap),0.768,0.042787790298461914,classification,1,2,1
74,Permutation (perm_round = 5),0.308,4.804861783981323,classification,1,2,1
75,TotalGain-oob (Saabas),0.5346666666666666,0.05890536308288574,classification,1,2,2
76,TotalGain-oob (Shap),0.6866666666666666,0.25400710105895996,classification,1,2,2
77,TotalGain,0.7600000000000001,0.4688715934753418,classification,1,2,2
78,TotalGain (Shap),0.7546666666666668,0.0686190128326416,classification,1,2,2
79,Permutation (perm_round = 5),0.33466666666666667,5.3452558517456055,classification,1,2,2
80,TotalGain-oob (Saabas),0.7973333333333333,0.16690707206726074,classification,1,2,4
81,TotalGain-oob (Shap),0.7866666666666666,0.23927712440490723,classification,1,2,4
82,TotalGain,0.72,1.151933193206787,classification,1,2,4
83,TotalGain (Shap),0.712,0.11791634559631348,classification,1,2,4
84,Permutation (perm_round = 5),0.24533333333333332,5.390676259994507,classification,1,2,4
85,TotalGain-oob (Saabas),0.8373333333333334,0.182084321975708,classification,1,2,8
86,TotalGain-oob (Shap),0.8693333333333333,0.42727017402648926,classification,1,2,8
87,TotalGain,0.7826666666666667,1.0419683456420898,classification,1,2,8
