,method,error_test,subproblem,subproblem_id,dataset_id,num_boost_round
97,LASSO (Saabas),0.5405960449553877,classification,2,0,16
98,LASSO (Shap),0.5176518531228551,classification,2,0,16
99,Vanilla,0.4789700583390528,classification,2,0,32
100,LASSO (Saabas),0.5235501029512697,classification,2,0,32
101,LASSO (Shap),0.4907880061770762,classification,2,0,32
102,Vanilla,0.4823695950583391,classification,2,0,64
103,LASSO (Saabas),0.5292606811942346,classification,2,0,64
104,LASSO (Shap),0.49945843342484564,classification,2,0,64
105,Vanilla,0.463548030916452,classification,2,1,1
106,LASSO (Saabas),0.5121310268678689,classification,2,1,1
107,LASSO (Shap),0.4862151883204515,classification,2,1,1
108,Vanilla,0.4803165255796835,classification,2,1,2
109,LASSO (Saabas),0.4960471107839528,classification,2,1,2
110,LASSO (Shap),0.49757821126242174,classification,2,1,2
111,Vanilla,0.47566433566433564,classification,2,1,4
112,LASSO (Saabas),0.465530609741136,classification,2,1,4
113,LASSO (Shap),0.47859649122807024,classification,2,1,4
114,Vanilla,0.4865611581401055,classification,2,1,8
115,LASSO (Saabas),0.4837835848362164,classification,2,1,8
116,LASSO (Shap),0.48622745675377255,classification,2,1,8
117,Vanilla,0.49113973745552686,classification,2,1,16
118,LASSO (Saabas),0.47800760642865914,classification,2,1,16
119,LASSO (Shap),0.4834155318365845,classification,2,1,16
120,Vanilla,0.4860900503005766,classification,2,1,32
121,LASSO (Saabas),0.5114611704085388,classification,2,1,32
122,LASSO (Shap),0.4919200098147467,classification,2,1,32
123,Vanilla,0.4958557232241443,classification,2,1,64
124,LASSO (Saabas),0.5319592688013741,classification,2,1,64
125,LASSO (Shap),0.5030352104036314,classification,2,1,64
126,Vanilla,0.4767183483130393,classification,2,2,1
127,LASSO (Saabas),0.4859652444249587,classification,2,2,1
128,LASSO (Shap),0.48598517308037226,classification,2,2,1
129,Vanilla,0.48420404950277995,classification,2,2,2
130,LASSO (Saabas),0.47659628529863096,classification,2,2,2
131,LASSO (Shap),0.49147053548297104,classification,2,2,2
132,Vanilla,0.46115655951692935,classification,2,2,4
133,LASSO (Saabas),0.4616572669841965,classification,2,2,4
134,LASSO (Shap),0.4674814165288267,classification,2,2,4
135,Vanilla,0.4461627374001077,classification,2,2,8
136,LASSO (Saabas),0.4472388847924431,classification,2,2,8
137,LASSO (Shap),0.47699236732497663,classification,2,2,8
138,Vanilla,0.454806791685765,classification,2,2,16
139,LASSO (Saabas),0.4534566252814922,classification,2,2,16
140,LASSO (Shap),0.4700372665856235,classification,2,2,16
141,Vanilla,0.45201677992785827,classification,2,2,32
142,LASSO (Saabas),0.44264034755575044,classification,2,2,32
143,LASSO (Shap),0.44390581717451516,classification,2,2,32
144,Vanilla,0.45182745770142896,classification,2,2,64
145,LASSO (Saabas),0.449515733673449,classification,2,2,64
146,LASSO (Shap),0.4436218338348712,classification,2,2,64
147,Vanilla,0.5531217694434427,classification,2,3,1
148,LASSO (Saabas),0.47336218295468213,classification,2,3,1
149,LASSO (Shap),0.49497776175021035,classification,2,3,1
150,Vanilla,0.5240942420964059,classification,2,3,2
151,LASSO (Saabas),0.5023199903834596,classification,2,3,2
152,LASSO (Shap),0.5305204952518332,classification,2,3,2
153,Vanilla,0.5308787113835798,classification,2,3,4
154,LASSO (Saabas),0.4865777136675081,classification,2,3,4
155,LASSO (Shap),0.4941795888928958,classification,2,3,4
156,Vanilla,0.5225724245702608,classification,2,3,8
157,LASSO (Saabas),0.4679072003846616,classification,2,3,8
158,LASSO (Shap),0.48038946988820774,classification,2,3,8
159,Vanilla,0.48955884120687587,classification,2,3,16
160,LASSO (Saabas),0.4600024041351123,classification,2,3,16
161,LASSO (Shap),0.4596417838682534,classification,2,3,16
162,Vanilla,0.47269623752854906,classification,2,3,32
163,LASSO (Saabas),0.4775525904555836,classification,2,3,32
164,LASSO (Shap),0.4893376607765356,classification,2,3,32
