,error,subproblem,subproblem_id,dataset_id,num_boost_round
0,0.000614166259765625,classification,1,0,1
1,0.00408172607421875,classification,1,0,2
2,0.00528717041015625,classification,1,0,4
3,0.008026123046875,classification,1,0,8
4,0.0078887939453125,classification,1,0,16
5,0.0081024169921875,classification,1,0,32
6,0.008056640625,classification,1,0,64
7,0.0002231597900390625,classification,1,1,1
8,0.00045013427734375,classification,1,1,2
9,0.0011749267578125,classification,1,1,4
10,0.0035858154296875,classification,1,1,8
11,0.0042724609375,classification,1,1,16
12,0.0036468505859375,classification,1,1,32
13,0.002655029296875,classification,1,1,64
14,0.0001277923583984375,classification,1,2,1
15,0.0005950927734375,classification,1,2,2
16,0.0029144287109375,classification,1,2,4
17,0.00775146484375,classification,1,2,8
18,0.0080413818359375,classification,1,2,16
19,0.0079193115234375,classification,1,2,32
20,0.0080413818359375,classification,1,2,64
21,0.00020122528076171875,classification,1,3,1
22,0.003032684326171875,classification,1,3,2
23,0.0019378662109375,classification,1,3,4
24,0.0008392333984375,classification,1,3,8
25,0.001953125,classification,1,3,16
26,0.00244140625,classification,1,3,32
27,0.0023345947265625,classification,1,3,64
28,0.00020599365234375,classification,1,4,1
29,0.001712799072265625,classification,1,4,2
30,0.001148223876953125,classification,1,4,4
31,0.0019683837890625,classification,1,4,8
32,0.00218963623046875,classification,1,4,16
33,0.0032806396484375,classification,1,4,32
34,0.0035247802734375,classification,1,4,64
35,0.0002422332763671875,classification,1,5,1
36,8.58306884765625e-05,classification,1,5,2
37,0.0010833740234375,classification,1,5,4
38,0.0030975341796875,classification,1,5,8
39,0.00311279296875,classification,1,5,16
40,0.0029144287109375,classification,1,5,32
41,0.0036773681640625,classification,1,5,64
42,8.487701416015625e-05,classification,1,6,1
43,0.0005855560302734375,classification,1,6,2
44,0.001556396484375,classification,1,6,4
45,0.000946044921875,classification,1,6,8
46,0.0006866455078125,classification,1,6,16
47,0.000518798828125,classification,1,6,32
48,0.00057220458984375,classification,1,6,64
49,5.7220458984375e-05,classification,1,7,1
50,0.002910614013671875,classification,1,7,2
51,0.00200653076171875,classification,1,7,4
52,0.001922607421875,classification,1,7,8
53,0.00128173828125,classification,1,7,16
54,0.0024566650390625,classification,1,7,32
55,0.001708984375,classification,1,7,64
56,0.000415802001953125,classification,1,8,1
57,0.001129150390625,classification,1,8,2
58,0.006622314453125,classification,1,8,4
59,0.0027618408203125,classification,1,8,8
60,0.0017852783203125,classification,1,8,16
61,0.001983642578125,classification,1,8,32
62,0.002166748046875,classification,1,8,64
63,0.000164031982421875,classification,1,9,1
64,0.000682830810546875,classification,1,9,2
65,0.003002166748046875,classification,1,9,4
66,0.00258636474609375,classification,1,9,8
67,0.0025482177734375,classification,1,9,16
68,0.00262451171875,classification,1,9,32
69,0.00296783447265625,classification,1,9,64
70,0.00027942657470703125,classification,1,10,1
71,0.0008716583251953125,classification,1,10,2
72,0.002407073974609375,classification,1,10,4
73,0.001953125,classification,1,10,8
74,0.00159454345703125,classification,1,10,16
75,0.00211334228515625,classification,1,10,32
76,0.00189208984375,classification,1,10,64
77,0.0006084442138671875,classification,1,11,1
78,0.0006084442138671875,classification,1,11,2
79,0.0015277862548828125,classification,1,11,4
80,0.002105712890625,classification,1,11,8
81,0.0023345947265625,classification,1,11,16
82,0.0024261474609375,classification,1,11,32
83,0.0029144287109375,classification,1,11,64
84,0.0002613067626953125,classification,1,12,1
85,0.0003681182861328125,classification,1,12,2
86,0.0008544921875,classification,1,12,4
87,0.00081634521484375,classification,1,12,8
88,0.00091552734375,classification,1,12,16
89,0.000946044921875,classification,1,12,32
90,0.0007781982421875,classification,1,12,64
91,0.0005645751953125,classification,1,13,1
92,0.0010986328125,classification,1,13,2
93,0.00144195556640625,classification,1,13,4
94,0.0004558563232421875,classification,1,13,8
95,0.00283050537109375,classification,1,13,16
96,0.002166748046875,classification,1,13,32
97,0.0024261474609375,classification,1,13,64
98,0.0010471343994140625,classification,1,14,1
99,0.00240325927734375,classification,1,14,2
100,0.00257110595703125,classification,1,14,4
101,0.00296783447265625,classification,1,14,8
102,0.00173187255859375,classification,1,14,16
103,0.001617431640625,classification,1,14,32
104,0.002655029296875,classification,1,14,64
105,0.0001430511474609375,classification,1,15,1
106,0.0012054443359375,classification,1,15,2
107,0.0016632080078125,classification,1,15,4
108,0.002471923828125,classification,1,15,8
109,0.0026702880859375,classification,1,15,16
110,0.003143310546875,classification,1,15,32
111,0.0025177001953125,classification,1,15,64
112,0.00040435791015625,classification,1,16,1
113,0.006103515625,classification,1,16,2
114,0.00539398193359375,classification,1,16,4
115,0.0054931640625,classification,1,16,8
116,0.006744384765625,classification,1,16,16
117,0.0072174072265625,classification,1,16,32
118,0.0072174072265625,classification,1,16,64
119,0.000659942626953125,classification,1,17,1
120,0.0010280609130859375,classification,1,17,2
121,0.003475189208984375,classification,1,17,4
122,0.003559112548828125,classification,1,17,8
123,0.0041656494140625,classification,1,17,16
124,0.0041046142578125,classification,1,17,32
125,0.00399017333984375,classification,1,17,64
126,0.0004711151123046875,classification,1,18,1
127,0.001590728759765625,classification,1,18,2
128,0.0003509521484375,classification,1,18,4
129,0.00347900390625,classification,1,18,8
130,0.002716064453125,classification,1,18,16
131,0.00293731689453125,classification,1,18,32
132,0.0027923583984375,classification,1,18,64
133,0.000148773193359375,classification,1,19,1
134,0.000698089599609375,classification,1,19,2
135,0.002475738525390625,classification,1,19,4
136,0.0032501220703125,classification,1,19,8
137,0.00331878662109375,classification,1,19,16
138,0.003326416015625,classification,1,19,32
139,0.003570556640625,classification,1,19,64
140,3.0517578125e-05,classification,1,20,1
141,0.0005168914794921875,classification,1,20,2
142,0.001995086669921875,classification,1,20,4
143,0.002658843994140625,classification,1,20,8
144,0.002593994140625,classification,1,20,16
145,0.00274658203125,classification,1,20,32
146,0.0029296875,classification,1,20,64
147,0.000152587890625,classification,1,21,1
148,0.00103759765625,classification,1,21,2
149,0.000232696533203125,classification,1,21,4
150,0.0009002685546875,classification,1,21,8
151,0.00135040283203125,classification,1,21,16
152,0.00156402587890625,classification,1,21,32
153,0.0012054443359375,classification,1,21,64
154,0.00017833709716796875,classification,1,22,1
155,0.000400543212890625,classification,1,22,2
156,0.001247406005859375,classification,1,22,4
157,0.0022430419921875,classification,1,22,8
158,0.00225830078125,classification,1,22,16
159,0.00251007080078125,classification,1,22,32
160,0.001922607421875,classification,1,22,64
161,9.250640869140625e-05,classification,1,23,1
162,0.0014400482177734375,classification,1,23,2
163,0.0014400482177734375,classification,1,23,4
164,0.005401611328125,classification,1,23,8
165,0.00458526611328125,classification,1,23,16
166,0.0044097900390625,classification,1,23,32
167,0.004302978515625,classification,1,23,64
168,0.0003490447998046875,classification,1,24,1
169,0.0006465911865234375,classification,1,24,2
170,0.001659393310546875,classification,1,24,4
171,0.00443267822265625,classification,1,24,8
172,0.0045928955078125,classification,1,24,16
173,0.004425048828125,classification,1,24,32
174,0.004547119140625,classification,1,24,64
175,6.4849853515625e-05,classification,1,25,1
176,0.0005321502685546875,classification,1,25,2
177,0.0016021728515625,classification,1,25,4
178,0.0018901824951171875,classification,1,25,8
179,0.0015106201171875,classification,1,25,16
180,0.0015869140625,classification,1,25,32
181,0.00121307373046875,classification,1,25,64
182,0.000110626220703125,classification,1,26,1
183,0.0002994537353515625,classification,1,26,2
