,method,auc_noisy,elapsed,subproblem,subproblem_id,dataset_id,num_boost_round
71,TotalGain-oob (Shap),0.572,0.1711270809173584,classification,1,2,1
72,TotalGain,0.6933333333333332,0.22098779678344727,classification,1,2,1
73,TotalGain (Shap),0.7093333333333334,0.13814616203308105,classification,1,2,1
74,Permutation (perm_round = 5),0.4533333333333333,3.357877731323242,classification,1,2,1
75,TotalGain-oob (Saabas),0.5693333333333334,0.26484203338623047,classification,1,2,2
76,TotalGain-oob (Shap),0.548,3.3776872158050537,classification,1,2,2
77,TotalGain,0.7466666666666667,1.6739716529846191,classification,1,2,2
78,TotalGain (Shap),0.8186666666666668,0.11812138557434082,classification,1,2,2
79,Permutation (perm_round = 5),0.5053333333333333,4.765893459320068,classification,1,2,2
80,TotalGain-oob (Saabas),0.7973333333333333,1.1591882705688477,classification,1,2,4
81,TotalGain-oob (Shap),0.8,0.28148913383483887,classification,1,2,4
82,TotalGain,0.7533333333333334,0.5398685932159424,classification,1,2,4
83,TotalGain (Shap),0.7826666666666666,0.14858603477478027,classification,1,2,4
84,Permutation (perm_round = 5),0.376,3.7859201431274414,classification,1,2,4
85,TotalGain-oob (Saabas),0.7226666666666668,6.746764421463013,classification,1,2,8
86,TotalGain-oob (Shap),0.752,0.3579084873199463,classification,1,2,8
87,TotalGain,0.7093333333333334,0.6091713905334473,classification,1,2,8
88,TotalGain (Shap),0.7573333333333333,0.2750992774963379,classification,1,2,8
89,Permutation (perm_round = 5),0.36533333333333334,3.912928819656372,classification,1,2,8
90,TotalGain-oob (Saabas),0.6533333333333333,0.9546487331390381,classification,1,2,16
91,TotalGain-oob (Shap),0.6773333333333333,1.896963357925415,classification,1,2,16
92,TotalGain,0.688,1.0966427326202393,classification,1,2,16
93,TotalGain (Shap),0.7573333333333333,0.5724129676818848,classification,1,2,16
94,Permutation (perm_round = 5),0.42933333333333334,3.341609239578247,classification,1,2,16
95,TotalGain-oob (Saabas),0.6373333333333333,1.0289225578308105,classification,1,2,32
96,TotalGain-oob (Shap),0.752,6.436639785766602,classification,1,2,32
97,TotalGain,0.6826666666666668,10.367815494537354,classification,1,2,32
98,TotalGain (Shap),0.6906666666666667,1.3447072505950928,classification,1,2,32
99,Permutation (perm_round = 5),0.31466666666666665,4.1562111377716064,classification,1,2,32
100,TotalGain-oob (Saabas),0.5173333333333333,2.3284502029418945,classification,1,2,64
101,TotalGain-oob (Shap),0.6826666666666666,2.1933541297912598,classification,1,2,64
102,TotalGain,0.6506666666666666,5.098128795623779,classification,1,2,64
103,TotalGain (Shap),0.6426666666666666,3.516601324081421,classification,1,2,64
